922,582,30.91,-28.801,893.69,0.00056,0.00149,1,0.06525,-0.01683,0.99773,32.73,-21.93,-25.97,-31.4,-21.57,-23.48,3.85,3.54,1
928,572,26.915,-21.424,893.71,-0.0063,0.00052,0.99998,NaN,NaN,NaN,32.71,-21.91,-25.96,NaN,NaN,NaN,3.84,NaN,1
932,572,23.257,-20.617,893.69,-0.01025,0.00137,0.99995,NaN,NaN,NaN,32.68,-21.88,-25.95,NaN,NaN,NaN,3.84,NaN,1
934,573,22.112,-21.484,893.69,-0.01147,0.00041,0.99993,NaN,NaN,NaN,32.66,-21.86,-25.94,NaN,NaN,NaN,3.84,NaN,1
934,575,21.673,-23.604,893.69,-0.01194,-0.00191,0.99993,NaN,NaN,NaN,32.65,-21.85,-25.93,NaN,NaN,NaN,3.84,NaN,1
935,577,20.91,-24.553,893.68,-0.01276,-0.00294,0.99991,NaN,NaN,NaN,32.64,-21.85,-25.93,NaN,NaN,NaN,3.85,NaN,1
938,582,18.967,-29.587,923.96,-0.01407,-0.00493,0.99989,0.05288,-0.01162,0.99853,32.64,-21.85,-25.93,-31.51,-21.62,-23.45,3.85,3.57,1
938,577,19.466,-25.898,923.99,-0.01385,-0.00426,0.9999,NaN,NaN,NaN,32.63,-21.85,-25.93,NaN,NaN,NaN,3.84,NaN,1
938,577,19.366,-25.694,923.98,-0.01395,-0.00404,0.99989,NaN,NaN,NaN,32.62,-21.85,-25.93,NaN,NaN,NaN,3.84,NaN,1
938,579,19.608,-27.048,923.98,-0.01369,-0.00546,0.99989,NaN,NaN,NaN,32.62,-21.86,-25.93,NaN,NaN,NaN,3.83,NaN,1
944,584,16.6,-35.586,1057.5,-0.01358,-0.00692,0.99988,0.04328,-0.01872,0.99889,32.61,-21.86,-25.93,-31.52,-21.55,-23.45,3.83,3.58,1
942,578,18.068,-30.117,1057.6,-0.01342,-0.00762,0.99988,NaN,NaN,NaN,32.61,-21.86,-25.93,NaN,NaN,NaN,3.84,NaN,1
942,579,17.894,-31.196,1057.6,-0.01357,-0.00862,0.99987,NaN,NaN,NaN,32.6,-21.86,-25.94,NaN,NaN,NaN,3.84,NaN,1
944,581,16.272,-32.899,1057.5,-0.01507,-0.01018,0.99983,NaN,NaN,NaN,32.61,-21.86,-25.93,NaN,NaN,NaN,3.84,NaN,1
950,587,11.049,-38.378,1057.4,-0.01991,-0.0152,0.99969,NaN,NaN,NaN,32.63,-21.91,-25.91,NaN,NaN,NaN,3.81,NaN,1
933,633,26.012,-81.271,1056.1,-0.00613,-0.05468,0.99849,NaN,NaN,NaN,32.65,-22.02,-25.94,NaN,NaN,NaN,3.82,NaN,2
928,698,21.692,-103.55,768.64,-0.01339,-0.10579,0.9943,0.06619,-0.09857,0.99293,32.66,-22.16,-26,-31.42,-21.75,-23.59,3.84,3.56,2
930,723,20.342,-119.91,766.77,-0.01544,-0.12228,0.99238,NaN,NaN,NaN,32.68,-22.22,-26.01,NaN,NaN,NaN,3.85,NaN,1
929,731,21.178,-124.76,766.18,-0.01441,-0.12831,0.99163,NaN,NaN,NaN,32.69,-22.26,-26.01,NaN,NaN,NaN,3.84,NaN,1
926,733,22.73,-126.13,766.02,-0.01249,-0.12999,0.99144,NaN,NaN,NaN,32.71,-22.29,-26.01,NaN,NaN,NaN,3.84,NaN,1
922,736,23.927,-119.28,712.3,-0.01174,-0.13208,0.99117,0.07425,-0.12904,0.98886,32.72,-22.3,-26,-31.39,-21.85,-23.61,3.83,3.55,1
921,740,24.192,-121.75,711.99,-0.01146,-0.13352,0.99098,NaN,NaN,NaN,32.72,-22.32,-26,NaN,NaN,NaN,3.83,NaN,1
921,743,24.566,-123.48,711.77,-0.01097,-0.13582,0.99067,NaN,NaN,NaN,32.74,-22.34,-25.98,NaN,NaN,NaN,3.82,NaN,1
920,744,24.66,-124.46,711.65,-0.01086,-0.1371,0.9905,NaN,NaN,NaN,32.75,-22.36,-25.97,NaN,NaN,NaN,3.82,NaN,1
921,745,24.432,-124.63,711.64,-0.01117,-0.13732,0.99046,NaN,NaN,NaN,32.75,-22.37,-25.96,NaN,NaN,NaN,3.82,NaN,1
920,745,24.556,-123.95,707.63,-0.01107,-0.1376,0.99043,0.07556,-0.13732,0.98764,32.76,-22.38,-25.95,-31.39,-21.94,-23.56,3.83,3.56,1
920,745,24.509,-124.28,707.6,-0.01114,-0.13757,0.99043,NaN,NaN,NaN,32.76,-22.39,-25.94,NaN,NaN,NaN,3.83,NaN,1
920,745,24.844,-124.37,707.61,-0.0107,-0.13767,0.99042,NaN,NaN,NaN,32.77,-22.41,-25.93,NaN,NaN,NaN,3.83,NaN,1
918,745,25.739,-123.98,707.7,-0.0095,-0.13711,0.99051,NaN,NaN,NaN,32.77,-22.43,-25.9,NaN,NaN,NaN,3.84,NaN,1
918,745,26.034,-124.17,707.7,-0.00911,-0.13735,0.99048,NaN,NaN,NaN,32.78,-22.45,-25.88,NaN,NaN,NaN,3.84,NaN,1
917,746,26.664,-126.05,713.87,-0.00816,-0.13786,0.99042,0.0777,-0.14013,0.98708,32.78,-22.45,-25.88,-31.39,-21.99,-23.5,3.84,3.57,1
917,745,27.086,-125.26,713.99,-0.00763,-0.13763,0.99046,NaN,NaN,NaN,32.79,-22.46,-25.87,NaN,NaN,NaN,3.84,NaN,1
915,750,26.961,-122.4,680.68,-0.00804,-0.13792,0.99041,0.08163,-0.14279,0.98638,32.79,-22.46,-25.86,-31.39,-22.02,-23.47,3.84,3.56,1
914,748,27.224,-121.21,680.83,-0.00784,-0.13841,0.99034,NaN,NaN,NaN,32.82,-22.44,-25.88,NaN,NaN,NaN,3.82,NaN,1
926,711,29.056,-142.5,975.73,-0.00153,-0.12757,0.99183,0.05775,-0.1114,0.9921,32.91,-22.23,-26.1,-31.52,-21.66,-24.11,3.82,3.61,1
1246,999,-228.87,-355.77,909.96,NaN,NaN,NaN,-0.19006,-0.3291,0.92497,NaN,NaN,NaN,-37.11,-23.73,-23.27,NaN,4.78,0
1253,1044,-231.88,-386.7,898.86,NaN,NaN,NaN,-0.19084,-0.35895,0.91364,NaN,NaN,NaN,-39.33,-24.54,-22.94,NaN,5.47,0
964,684,-2.6701,-119.32,977.56,-0.03519,-0.0967,0.99469,NaN,NaN,NaN,32.84,-21.75,-26.11,NaN,NaN,NaN,3.72,NaN,0
979,634,-30.098,-144.7,1855.1,-0.0331,-0.06312,0.99746,0.00224,-0.06717,0.99774,32.8,-21.6,-26.09,-34.78,-22.25,-23.89,3.71,4.47,0
961,592,0.316,-76.053,1859.1,-0.01721,-0.02885,0.99944,NaN,NaN,NaN,32.79,-21.63,-26.05,NaN,NaN,NaN,3.79,NaN,2
935,571,25.803,-24.95,1113.3,-0.00601,-0.0047,0.99997,0.05139,-0.00115,0.99868,32.78,-21.69,-26.08,-32.84,-21.56,-23.84,3.85,3.98,1
936,557,25.203,-11.662,1113.2,-0.00666,0.00882,0.99994,NaN,NaN,NaN,32.8,-21.71,-26.12,NaN,NaN,NaN,3.87,NaN,1
928,548,33.093,-3.0555,1113.1,0.00026,0.0164,0.99987,NaN,NaN,NaN,32.79,-21.74,-26.1,NaN,NaN,NaN,3.85,NaN,1
921,538,39.917,7.3233,1112.8,0.00624,0.02547,0.99966,NaN,NaN,NaN,32.8,-21.69,-26.18,NaN,NaN,NaN,3.89,NaN,1
921,552,33.842,-5.2131,940.7,0.01001,0.03166,0.99945,0.05909,0.00173,0.99825,32.82,-21.61,-26.3,-31.94,-21.11,-23.84,3.93,3.78,1
